range_label,fault_type,source_files,requested_faults_total,inserted_faults_total,requested_faults_mean,inserted_faults_mean,inserted_faults_min,inserted_faults_max,capped_files,candidate_nets_mean,feasible_fault_sites_mean
100-500,bridging,30,9089,8761,302.96666666666664,292.03333333333336,55,494,1,14288.5,415979182.73333335
100-500,glitch,30,9089,7969,302.96666666666664,265.6333333333333,11,494,5,14288.5,14288.5
100-500,stuck_at,30,9089,7969,302.96666666666664,265.6333333333333,11,494,5,14288.5,14288.5
1000-2000,bridging,30,44693,43167,1489.7666666666667,1438.9,55,1976,2,14288.5,415979182.73333335
1000-2000,glitch,30,44693,32287,1489.7666666666667,1076.2333333333333,11,1976,13,14288.5,14288.5
1000-2000,stuck_at,30,44693,32287,1489.7666666666667,1076.2333333333333,11,1976,13,14288.5,14288.5
500-1000,bridging,30,21644,21085,721.4666666666667,702.8333333333334,55,994,1,14288.5,415979182.73333335
500-1000,glitch,30,21644,18082,721.4666666666667,602.7333333333333,11,994,10,14288.5,14288.5
500-1000,stuck_at,30,21644,18082,721.4666666666667,602.7333333333333,11,994,10,14288.5,14288.5
