range_label,range_min,range_max,graph_count,unique_netlists,total_nodes,total_edges,total_labeled_fault_nodes,mean_nodes_per_graph,median_nodes_per_graph,mean_edges_per_graph,median_edges_per_graph,mean_labeled_fault_nodes_per_graph,median_labeled_fault_nodes_per_graph,max_labeled_fault_nodes_per_graph,mean_fault_node_density_percent,mean_path_depth,max_path_depth,mean_dist_to_PO,max_dist_to_PO,max_fanout
100-500,100,500,120,30,1733859,2583582,24699,14448.825,2270.0,21529.85,2805.0,205.825,196.0,494,15.983953829836572,3.383731710287415,39,11.177613421256615,281,5672
500-1000,500,1000,120,30,1766409,2597562,57249,14720.075,2342.0,21646.35,2885.5,477.075,536.5,994,22.367476776496197,3.4096125535631505,44,8.927395749215027,281,5672
1000-2000,1000,2000,120,30,1816901,2623467,107741,15140.841666666667,3237.0,21862.225,3173.5,897.8416666666667,1170.0,1976,28.368366474416593,3.614904617474596,72,7.94102528530754,281,5672
