setting_label,node_class,in_degree_count,in_degree_mean,in_degree_median,in_degree_std,in_degree_min,in_degree_max,out_degree_count,out_degree_mean,out_degree_median,out_degree_std,out_degree_min,out_degree_max,total_degree_count,total_degree_mean,total_degree_median,total_degree_std,total_degree_min,total_degree_max,path_depth_count,path_depth_mean,path_depth_median,path_depth_std,path_depth_min,path_depth_max,CC0_exact_count,CC0_exact_mean,CC0_exact_median,CC0_exact_std,CC0_exact_min,CC0_exact_max,CC1_exact_count,CC1_exact_mean,CC1_exact_median,CC1_exact_std,CC1_exact_min,CC1_exact_max,CO_exact_count,CO_exact_mean,CO_exact_median,CO_exact_std,CO_exact_min,CO_exact_max,dist_to_PO_count,dist_to_PO_mean,dist_to_PO_median,dist_to_PO_std,dist_to_PO_min,dist_to_PO_max,fanout_count,fanout_mean,fanout_median,fanout_std,fanout_min,fanout_max,fanout_norm_count,fanout_norm_mean,fanout_norm_median,fanout_norm_std,fanout_norm_min,fanout_norm_max,gate_delay_count,gate_delay_mean,gate_delay_median,gate_delay_std,gate_delay_min,gate_delay_max
baseline_original,bridging,2783,0.8163851958318361,1.0,0.38723931890275054,0,1,2783,1.3898670499461014,1.0,3.1789427960870675,0,128,2783,2.2062522457779377,2.0,3.2629552223746447,0,129,2783,4.436219906575638,4.0,3.944913141717159,0,25,2783,720087.1961911606,1000000.0,449035.766395878,1,1000000,2783,735538.3363277039,1000000.0,441124.0948446367,1,1000000,2783,10.36507366151635,4.0,17.45155650034263,0,162,2783,10.36507366151635,4.0,17.45155650034263,0,162,2783,1.3898670499461014,1.0,3.1789427960870675,0,128,2783,0.07536318316070323,0.0169491525423728,0.14014805900531657,0.0,1.0,2783,0.197700323392023,0.2,0.02132628034937738,0.0,0.2
baseline_original,clean,1709160,1.5050615507032694,1.0,0.6310443923935904,0,8,1709160,1.5000392005429568,1.0,3.4301689772342785,0,321,1709160,3.005100751246226,3.0,3.4622541731031293,0,321,1709160,5.513978796601839,5.0,3.8460486418917363,0,39,1709160,246505.59753563153,35.0,7574644.300769349,1,905969660,1709160,251470.8686307894,38.0,7573937.616151872,1,905969663,1709160,37.50748788878747,23.0,50.26138727161894,0,893,1709160,36.249158065950525,23.0,42.9766452358166,0,283,1709160,1.5000392005429568,1.0,3.4301689772342785,0,321,1709160,0.03656443230168056,0.0084745762711864,0.09479475143321027,0.0,1.0,1709160,0.7821327435699408,1.0,0.2487886724987824,0.5,2.0
baseline_original,glitch,2783,0.012576356449874237,0.0,0.1114569669083702,0,1,2783,1.2957240388070428,1.0,2.1303343935512014,0,56,2783,1.308300395256917,1.0,2.12559276300282,0,56,2783,0.022996766079770033,0.0,0.2575448192489235,0,7,2783,1079.0607258354294,1.0,32820.66581405106,1,1000000,2783,10421.437657204455,1.0,101565.29861939729,1,1000000,2783,11.063241106719367,5.0,18.18701148115934,0,177,2783,11.063241106719367,5.0,18.18701148115934,0,177,2783,1.2957240388070428,1.0,2.1303343935512014,0,56,2783,0.07837299725426036,0.0169491525423728,0.14876620511514474,0.0,1.0,2783,0.197700323392023,0.2,0.02132628034937738,0.0,0.2
baseline_original,stuck_at,2781,0.010068320747932399,0.0,0.09985256581050724,0,1,2781,1.2387630348795398,1.0,1.7544866785866802,0,40,2781,1.2488313556274722,1.0,1.7502115701405587,0,40,2781,0.019417475728155338,0.0,0.22032632461961543,0,4,2781,438691.7220424308,1.0,496315.6929857163,1,1000000,2781,420353.00107874867,1.0,493703.74888474337,1,1000000,2781,11.451636102121538,4.0,19.64472896019002,0,179,2781,11.451636102121538,4.0,19.64472896019002,0,179,2781,1.2387630348795398,1.0,1.7544866785866802,0,40,2781,0.09224040390132406,0.0210526315789473,0.17459074095882143,0.0,1.0,2781,0.029270046745774905,0.0,0.07070411086441371,0.0,0.2
