setting_label,graph_count,unique_netlists,total_nodes,total_edges,total_labeled_fault_nodes,mean_nodes_per_graph,median_nodes_per_graph,mean_edges_per_graph,median_edges_per_graph,mean_labeled_fault_nodes_per_graph,median_labeled_fault_nodes_per_graph,max_labeled_fault_nodes_per_graph,mean_fault_node_density_percent,mean_path_depth,max_path_depth,mean_dist_to_PO,max_dist_to_PO,max_fanout,range_min,range_max
baseline_original,120,30,1717507,2574726,8347,14312.558333333332,1969.0,21456.05,2673.5,69.55833333333334,86.0,335,5.907038030618092,3.528398359170137,39,14.43125653583969,283,321,,
100-500,120,30,1733859,2583582,24699,14448.825,2270.0,21529.85,2805.0,205.825,196.0,494,15.983953829836572,3.383731710287415,39,11.177613421256616,281,5672,100.0,500.0
500-1000,120,30,1766409,2597562,57249,14720.075,2342.0,21646.35,2885.5,477.075,536.5,994,22.3674767764962,3.4096125535631505,44,8.927395749215027,281,5672,500.0,1000.0
1000-2000,120,30,1816901,2623467,107741,15140.841666666667,3237.0,21862.225,3173.5,897.8416666666667,1170.0,1976,28.368366474416597,3.614904617474596,72,7.94102528530754,281,5672,1000.0,2000.0
